,ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Land_Sq_Mi,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,places,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,first,last,low_income,middle_income,high_income,stay_home_ratio,new1day_after,new2day_after,new3day_after,new4day_after,new5day_after,new6day_after,new7day_after,new8day_after,new9day_after,new10day_after,new11day_after,ave_new7_10after,ave_new6_9after,ave_new8_11after
146,90094,2020/3/19,1,1,270,4241,124,817,8,99,9368,0,15332,0.000106746,0.000106746,"Playa Vista,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.177419355,0,1,0,1,1,1,3,1,0,0,0,1,1.25,0.25
147,90210,2020/3/19,4,0,1310,469590,456,639,66,91,19909,10,1966,0.000200914,0,"Beverly Hills,Beverly Crest,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.872807018,1,2,1,4,0,1,2,7,3,4,5,4,3.25,4.75
148,90230,2020/3/19,3,1,1048,4748,433,906,18,98,32808,4,7277,9.14E-05,3.05E-05,"Culver City,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.420323326,1,0,0,1,2,1,2,1,1,2,5,1.5,1.25,2.25
149,90247,2020/3/19,1,0,1452,5635,478,656,47,93,47531,3,12661,2.10E-05,0,"Gardena,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,3.037656904,0,0,0,0,0,0,3,1,1,0,1,1.25,1.25,0.75
150,90250,2020/3/19,1,1,3226,5443,1203,712,34,95,96836,6,14463,1.03E-05,1.03E-05,"Hawthorne,Unincorporated - Hawthorne,Wiseburn,Del Aire,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.68162926,1,0,0,1,3,2,1,3,4,0,3,2,2.5,2.5
151,90262,2020/3/19,1,0,1949,6596,681,700,51,93,70936,4,14677,1.41E-05,0,"Lynwood,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/17,2020/5/27,FALSE,TRUE,FALSE,2.861967695,0,0,1,0,0,1,3,2,5,1,2,2.75,2.75,2.5
152,90265,2020/3/19,2,1,686,37822,188,662,299,69,18389,107,170,0.000108761,5.44E-05,"Santa Monica Mountains,Malibu,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,3.64893617,0,1,1,0,0,1,1,1,0,0,0,0.5,0.75,0.25
153,90266,2020/3/19,5,1,1345,2554,518,972,14,99,35573,3,9037,0.000140556,2.81E-05,"Manhattan Beach,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.596525097,1,1,0,2,2,6,4,1,1,4,4,2.5,3,2.5
154,90272,2020/3/19,5,1,860,3969,374,1068,9,99,22551,22,987,0.00022172,4.43E-05,"Pacific Palisades,Palisades Highlands,",3,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,FALSE,TRUE,2.299465241,1,1,0,1,1,0,3,1,1,5,3,2.5,1.25,2.5
155,90275,2020/3/19,1,1,1728,5663,708,1012,19,98,42421,13,3138,2.36E-05,2.36E-05,"Lawndale,Rancho Palos Verdes,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.440677966,0,0,1,1,2,3,2,1,2,1,2,1.5,2,1.5
