ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stay_home_ratio,ave_new7_10after
91340,2020/3/29,1,1,862,2700,404,1048,11,99,36227,10714,2.76E-05,2.76E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.133663366,2
91342,2020/3/29,15,7,3083,5474,1468,1075,16,99,96487,1750,0.000155461,7.25E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.10013624,8.5
91343,2020/3/29,6,4,2053,4144,1015,1180,5,100,66590,11265,9.01E-05,6.01E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.022660099,3
91344,2020/3/29,8,0,2586,4009,1372,1238,3,100,53266,3245,0.00015019,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.88483965,4.5
91345,2020/3/29,5,0,521,4253,258,1231,2,100,19205,5925,0.000260349,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.019379845,0.5
91350,2020/3/29,38,6,2521,3456,1276,1342,3,100,37350,2204,0.001017403,0.000160643,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.975705329,8.25
91352,2020/3/29,7,1,1347,4532,630,1095,13,99,47438,4065,0.000147561,2.11E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.138095238,3.75
91354,2020/3/29,1,0,1745,3137,964,1357,0,100,32096,3678,3.12E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.810165975,0
91356,2020/3/29,23,4,1245,3666,634,1245,8,99,30804,4200,0.000746656,0.000129853,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.963722397,1.25
91364,2020/3/29,19,1,1165,3093,557,1196,6,100,27340,3600,0.000694952,3.66E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.091561939,3
91381,2020/3/29,1,0,1242,3560,679,1380,0,100,20371,541,4.91E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.82916053,0.75
91387,2020/3/29,1,0,2200,4917,1191,1222,2,100,43717,882,2.29E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.847187238,1
91401,2020/3/29,4,1,1312,3603,657,1105,3,100,41412,11993,9.66E-05,2.41E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.99695586,3
91402,2020/3/29,6,2,2065,3479,978,1058,9,99,70686,18965,8.49E-05,2.83E-05,1,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.111451943,6
91405,2020/3/29,7,1,1778,4036,895,1035,5,100,55384,16737,0.00012639,1.81E-05,1,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.986592179,7
91406,2020/3/29,8,2,1812,4224,885,1049,8,99,55215,6789,0.000144888,3.62E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.047457627,2.5
91423,2020/3/29,27,2,1024,4084,485,981,10,99,33737,7732,0.000800308,5.93E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.111340206,3
91502,2020/3/29,19,2,207,5141,98,997,6,99,11598,8687,0.001638213,0.000172444,1,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.112244898,5.5
91602,2020/3/29,1,0,502,2762,234,906,8,99,19358,9456,5.17E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.145299145,0
91604,2020/3/29,14,4,1261,13919,547,832,64,93,32117,6235,0.000435906,0.000124545,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.305301645,0.75
91606,2020/3/29,30,4,1308,4100,590,901,9,99,44476,13344,0.000674521,8.99E-05,1,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.216949153,4.75
91607,2020/3/29,18,4,1169,3672,587,1159,11,99,30873,12652,0.000583034,0.000129563,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.991482112,0.75
91702,2020/3/29,2,1,2103,11641,958,951,95,91,62348,368,3.21E-05,1.60E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.19519833,1.5
91711,2020/3/29,1,0,1466,70375,647,976,168,85,36854,2455,2.71E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.265842349,1.25
91723,2020/3/29,7,3,555,3945,257,1193,7,99,18875,8125,0.000370861,0.00015894,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.159533074,4.25
91741,2020/3/29,6,2,1146,3485,514,1015,19,98,26565,1792,0.000225861,7.53E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.229571984,1.5
91744,2020/3/29,4,1,2419,4325,1227,1118,4,100,87240,9924,4.59E-05,1.15E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.971475143,1.75
91745,2020/3/29,2,0,1951,3973,989,1178,3,100,54975,4292,3.64E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.972699697,2.5
91748,2020/3/29,3,2,1763,5118,949,1116,3,100,47084,3254,6.37E-05,4.25E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.857744995,0.5
91750,2020/3/29,2,0,1689,5577,820,1175,21,98,33836,1340,5.91E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.059756098,0.75
91754,2020/3/29,5,0,1003,2948,537,1255,2,100,33058,7294,0.000151249,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.867783985,2
91765,2020/3/29,3,1,1898,5071,1008,1211,3,100,47139,2491,6.36E-05,2.12E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.882936508,0.75
91766,2020/3/29,4,0,1985,6412,898,981,19,98,72332,7114,5.53E-05,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.210467706,4
91770,2020/3/29,2,1,1989,3861,1037,1277,2,100,63425,9874,3.15E-05,1.58E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.918032787,1.25
91773,2020/3/29,3,1,1462,4070,730,1147,5,100,34496,2411,8.70E-05,2.90E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.002739726,2
91776,2020/3/29,6,0,1080,3570,568,1314,3,100,38410,11280,0.000156209,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.901408451,1.75
91780,2020/3/29,2,1,1146,3932,607,1277,9,99,35351,9232,5.66E-05,2.83E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.887973641,1.5
91789,2020/3/29,3,1,1509,4589,844,1230,6,100,44474,2844,6.75E-05,2.25E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.787914692,0.75
91791,2020/3/29,6,1,1270,4796,635,1228,5,100,34363,5179,0.000174606,2.91E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2,2
91803,2020/3/29,10,0,895,3720,424,1242,7,99,30385,9303,0.00032911,0,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.110849057,1.75
93536,2020/3/29,24,5,3102,6662,1554,1137,11,99,72383,298,0.00033157,6.91E-05,2,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,1.996138996,7.5
93550,2020/3/29,7,1,2487,6269,1232,1159,13,99,77006,392,9.09E-05,1.30E-05,1,34.94,21.78,39.9,-51,-27,-48,-54,-41,17,2.018668831,8.5
90002,2020/3/30,3,0,1607,6750,669,675,37,95,53111,17345,5.65E-05,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.402092676,2
90003,2020/3/30,12,1,1307,5597,608,806,11,99,72741,20484,0.000164969,1.37E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.149671053,3
90004,2020/3/30,108,19,1703,5018,800,905,12,99,61586,20205,0.001753645,0.000308512,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.12875,8.75
90006,2020/3/30,26,6,1762,8968,588,666,83,89,61698,32134,0.000421408,9.72E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.996598639,8.75
90007,2020/3/30,10,1,1568,157264,420,266,578,32,41716,16909,0.000239716,2.40E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,3.733333333,3.5
90008,2020/3/30,10,0,861,5577,392,686,18,97,31739,8641,0.00031507,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.196428571,2.5
90011,2020/3/30,10,3,2723,190877,1246,718,15,98,109414,25528,9.14E-05,2.74E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.185393258,4.75
90012,2020/3/30,2,0,670,7986,299,621,25,96,35913,11104,5.57E-05,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.240802676,0
90013,2020/3/30,10,1,369,7466,180,369,7,98,11937,17789,0.000837731,8.38E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.05,1
90014,2020/3/30,11,1,232,4783,91,187,42,82,8335,29452,0.001319736,0.000119976,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.549450549,1.5
90016,2020/3/30,4,1,1213,5732,500,715,30,96,46581,12842,8.59E-05,2.15E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.426,1.75
90018,2020/3/30,10,2,1172,5457,543,751,14,98,53256,18389,0.000187772,3.76E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.158379374,2.75
90019,2020/3/30,12,1,1762,4838,724,821,29,97,66245,17038,0.000181146,1.51E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.433701657,1.5
90020,2020/3/30,13,4,1583,3830,764,985,17,98,39102,34603,0.000332464,0.000102297,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.071989529,5
90022,2020/3/30,11,2,1590,4811,729,823,23,97,65890,15036,0.000166945,3.04E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.181069959,5
90024,2020/3/30,26,4,1451,48607,461,397,482,45,50288,17186,0.000517022,7.95E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,3.147505423,0.75
90025,2020/3/30,28,2,1084,6523,518,921,7,99,47967,18671,0.000583735,4.17E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.092664093,1.5
90026,2020/3/30,13,7,1527,27779,656,695,35,95,69589,16466,0.000186811,0.000100591,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.327743902,4.25
90028,2020/3/30,1,0,849,99032,337,477,77,86,30734,20166,3.25E-05,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.519287834,0.75
90029,2020/3/30,10,4,766,5080,351,706,12,98,37898,27825,0.000263866,0.000105546,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.182336182,3.25
90031,2020/3/30,3,0,943,5123,403,789,33,96,38535,11159,7.79E-05,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.339950372,2
90032,2020/3/30,3,0,1274,8704,556,873,31,97,47627,9990,6.30E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.291366906,1.5
90033,2020/3/30,11,1,1242,7333,529,705,35,95,47583,14564,0.000231175,2.10E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.347826087,2.5
90034,2020/3/30,34,2,1573,5004,765,856,9,99,55652,17888,0.000610939,3.59E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.05620915,3.75
90035,2020/3/30,21,4,678,3538,350,955,21,98,28085,13646,0.00074773,0.000142425,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.937142857,2.5
90036,2020/3/30,11,1,1301,5416,618,894,19,98,37988,15373,0.000289565,2.63E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.105177994,0.25
90037,2020/3/30,5,0,1710,4616,815,743,21,97,65016,22909,7.69E-05,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.098159509,2.75
90039,2020/3/30,19,2,621,5317,263,986,18,98,29589,7848,0.000642131,6.76E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.36121673,3
90040,2020/3/30,1,1,537,6632,199,515,64,89,12645,2265,7.91E-05,7.91E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.698492462,0
90041,2020/3/30,8,0,908,13082,389,845,127,87,29516,8176,0.000271039,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.334190231,2
90042,2020/3/30,9,1,1305,5196,576,934,15,98,63911,13759,0.000140821,1.56E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.265625,1.25
90043,2020/3/30,16,3,1443,7502,608,667,29,96,44627,10795,0.000358527,6.72E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.373355263,6.5
90044,2020/3/30,4,1,2806,6031,1253,724,16,98,96436,18772,4.15E-05,1.04E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.239425379,4
90045,2020/3/30,17,0,1275,96157,490,752,253,75,41149,3836,0.000413133,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.602040816,1
90046,2020/3/30,49,5,1241,8243,565,639,20,97,50587,8750,0.000968628,9.88E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.196460177,3.25
90047,2020/3/30,9,0,1380,5786,636,727,17,98,48883,10332,0.000184113,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.169811321,1.25
90048,2020/3/30,15,2,396,61400,163,635,43,94,22892,12144,0.000655251,8.74E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.429447853,1
90049,2020/3/30,35,1,1163,4939,548,1031,27,97,36964,2460,0.000946867,2.71E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.122262774,0.75
90056,2020/3/30,1,0,245,7018,128,816,35,96,7795,4933,0.000128287,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.9140625,0.5
90059,2020/3/30,2,1,1092,6620,470,713,30,96,45952,13870,4.35E-05,2.18E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.323404255,1.75
90061,2020/3/30,8,0,831,6754,337,656,40,94,27646,10385,0.000289373,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.465875371,1
90064,2020/3/30,6,4,820,178315,395,1111,16,99,25429,6357,0.000235951,0.000157301,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.075949367,0.5
90065,2020/3/30,9,1,1141,5361,533,909,14,98,47887,9071,0.000187942,2.09E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.140712946,4.25
90066,2020/3/30,27,6,1290,4078,659,973,9,99,59394,12064,0.000454591,0.00010102,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.957511381,2
90068,2020/3/30,37,5,656,182969,275,619,41,94,20982,2754,0.001763416,0.000238299,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.385454545,1.75
90069,2020/3/30,53,1,563,10302,259,481,20,96,20435,9666,0.002593589,4.89E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.173745174,3.75
90077,2020/3/30,9,0,1204,56703,286,474,809,37,8993,1226,0.001000778,0,3,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,4.20979021,0.5
90094,2020/3/30,5,0,257,7005,128,965,0,100,9368,15332,0.000533732,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.0078125,0.5
90201,2020/3/30,14,6,2534,5146,1099,822,28,97,102433,17253,0.000136675,5.86E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.305732484,4.75
90210,2020/3/30,47,5,1233,479882,518,754,62,92,19909,1966,0.002360741,0.000251143,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.38030888,1.75
90220,2020/3/30,14,2,1625,6369,656,673,31,96,53703,7770,0.000260693,3.72E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.477134146,2.5
90230,2020/3/30,14,5,969,4233,457,951,13,99,32808,7277,0.000426725,0.000152402,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.120350109,0.75
90241,2020/3/30,25,6,1616,5861,739,914,13,99,44143,8963,0.000566341,0.000135922,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.186738836,4
90245,2020/3/30,1,0,746,5064,309,922,33,97,16850,3084,5.93E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.414239482,0.25
90247,2020/3/30,7,1,1326,5801,573,865,22,98,47531,12661,0.000147272,2.10E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.314136126,3
90248,2020/3/30,6,2,292,6645,136,887,25,97,11512,2452,0.000521195,0.000173732,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.147058824,2
90250,2020/3/30,16,3,3037,5427,1373,829,20,98,96836,14463,0.000165228,3.10E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.211944647,5
90254,2020/3/30,7,1,598,48304,298,1042,4,100,19650,13770,0.000356234,5.09E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.006711409,0.25
90255,2020/3/30,4,2,1799,5354,860,838,22,97,75560,20322,5.29E-05,2.65E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.091860465,4
90262,2020/3/30,16,2,1821,6140,801,731,22,97,70936,14677,0.000225555,2.82E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.27340824,3.5
90265,2020/3/30,1,0,662,45888,215,678,337,67,18389,170,5.44E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,3.079069767,0.5
90266,2020/3/30,31,4,1282,71007,672,1144,5,100,35573,9037,0.000871447,0.000112445,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.907738095,1.5
90270,2020/3/30,5,1,592,4187,266,807,23,97,27454,21754,0.000182123,3.64E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.22556391,1.25
90272,2020/3/30,19,3,866,3995,446,1164,4,100,22551,987,0.000842535,0.000133032,3,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.941704036,1.25
90274,2020/3/30,15,0,1181,14058,536,1000,19,98,25279,2111,0.000593378,0,3,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.203358209,1.75
90275,2020/3/30,14,2,1631,5281,828,1164,8,99,42421,3138,0.000330025,4.71E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.969806763,4
90278,2020/3/30,34,5,1462,3138,752,1060,4,100,40649,11281,0.000836429,0.000123004,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.944148936,2.25
90280,2020/3/30,14,2,2654,6146,1170,829,21,98,95103,13018,0.000147209,2.10E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.268376068,6
90291,2020/3/30,18,1,513,23667,217,872,29,97,27525,11018,0.000653951,3.63E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.3640553,0.5
90292,2020/3/30,2,0,665,4749,313,717,18,98,22490,11029,8.89E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.124600639,0.5
90293,2020/3/30,1,0,437,6986,222,875,32,96,12694,4430,7.88E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.968468468,0
90304,2020/3/30,7,2,603,5435,257,760,42,95,25591,16331,0.000273534,7.82E-05,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.346303502,0.5
90403,2020/3/30,47,6,533,3861,251,886,25,97,24354,17054,0.001929868,0.000246366,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.123505976,3.25
90502,2020/3/30,8,1,655,5270,326,943,12,99,18188,8137,0.00043985,5.50E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.009202454,0.75
90503,2020/3/30,43,9,1926,4107,926,1126,8,99,44908,8478,0.000957513,0.00020041,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.079913607,6.25
90505,2020/3/30,1,0,1591,3204,806,1162,7,99,37641,6495,2.66E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.973945409,1
90601,2020/3/30,1,1,1090,6288,495,925,12,99,33058,2913,3.02E-05,3.02E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.202020202,0.25
90602,2020/3/30,8,0,876,6611,375,779,22,97,25981,7001,0.000307917,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.336,2.25
90604,2020/3/30,5,0,1774,5375,821,961,11,99,42063,9871,0.000118869,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.160779537,1.75
90638,2020/3/30,8,0,2377,11721,963,921,129,88,49383,6275,0.000161999,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.468328141,0.5
90640,2020/3/30,4,0,2062,5158,951,939,18,98,63177,7440,6.33E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.168243954,3.25
90650,2020/3/30,15,3,3626,6613,1641,885,21,98,105886,10793,0.000141662,2.83E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.209628275,2.25
90660,2020/3/30,6,1,1981,7104,903,840,15,98,63380,8178,9.47E-05,1.58E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.19379845,3
90701,2020/3/30,1,0,602,6740,279,984,19,98,16858,10342,5.93E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.157706093,0
90703,2020/3/30,5,1,2278,4176,1162,1126,4,100,50963,5806,9.81E-05,1.96E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.960413081,2.25
90706,2020/3/30,17,3,2702,7004,1184,859,17,98,77529,12693,0.000219273,3.87E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.282094595,2.5
90710,2020/3/30,4,2,996,7499,444,887,34,96,28185,11947,0.000141919,7.10E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.243243243,0.5
90713,2020/3/30,13,1,1204,4456,567,1198,12,99,29061,8562,0.000447335,3.44E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.12345679,2
90716,2020/3/30,1,0,272,4547,116,1051,16,99,14344,15407,6.97E-05,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.344827586,0
90717,2020/3/30,1,0,700,4094,320,877,19,98,21696,10957,4.61E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.1875,1
90723,2020/3/30,7,1,1474,6013,639,780,45,95,54776,11691,0.000127793,1.83E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.306729264,1.25
90731,2020/3/30,11,1,1802,6062,750,765,41,95,61850,6717,0.00017785,1.62E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.402666667,2.5
90732,2020/3/30,1,0,967,4398,454,1073,8,99,22273,6512,4.49E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.129955947,0
90744,2020/3/30,10,0,1475,6546,613,634,38,94,57206,6862,0.000174807,0,1,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.406199021,0.75
90746,2020/3/30,35,7,849,6451,380,602,40,94,26996,4628,0.001296488,0.000259298,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.234210526,5.25
90755,2020/3/30,107,7,396,4676,194,906,12,99,11074,5082,0.009662272,0.000632111,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.041237113,22.5
91001,2020/3/30,10,0,1092,5499,516,869,23,97,37711,4558,0.000265175,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.11627907,1.5
91007,2020/3/30,9,0,1287,4542,699,1195,2,100,34523,6210,0.000260696,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.841201717,0.75
91008,2020/3/30,1,0,36,2780,15,1324,7,99,1391,687,0.000718907,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.4,0
91011,2020/3/30,8,1,783,3526,416,1245,4,100,20423,1722,0.000391715,4.90E-05,3,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.882211538,0.5
91016,2020/3/30,5,0,1541,4194,723,957,15,98,41671,4910,0.000119988,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.131396957,1.5
91030,2020/3/30,5,0,859,4082,428,1090,12,99,25794,7562,0.000193844,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.007009346,0.25
91040,2020/3/30,2,0,1002,7803,452,957,19,98,20207,2463,9.90E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.216814159,3
91042,2020/3/30,4,1,1077,7350,485,936,29,97,26631,533,0.000150201,3.76E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.220618557,0.75
91104,2020/3/30,25,15,1037,4649,508,994,8,99,37974,9985,0.000658345,0.000395007,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.041338583,9
91108,2020/3/30,1,0,478,2915,247,1187,8,99,13538,3551,7.39E-05,0,3,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.935222672,0
91208,2020/3/30,62,16,523,4555,254,1139,4,100,13538,3551,0.004579702,0.001181858,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.059055118,9.25
91301,2020/3/30,9,0,1292,5084,644,1175,8,99,25631,751,0.000351137,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.00621118,0.25
91302,2020/3/30,11,1,1503,4037,815,1262,2,100,26634,997,0.000413006,3.75E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.844171779,0
91304,2020/3/30,11,2,2182,4350,1058,928,10,99,53761,5716,0.000204609,3.72E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.062381853,6
91306,2020/3/30,9,0,1595,4763,747,975,15,98,49158,11879,0.000183083,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.135207497,2.5
91311,2020/3/30,10,2,1816,4308,861,946,14,99,40420,1260,0.000247402,4.95E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.109175377,1.5
91316,2020/3/30,29,2,873,4671,423,1107,6,99,29964,5984,0.000967828,6.67E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.063829787,1.25
91326,2020/3/30,6,0,1807,4923,941,1234,5,100,37035,4539,0.000162009,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,1.920297556,1.25
91330,2020/3/30,8,0,181,49924,18,0,1273,0,3273,9598,0.002444241,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,10.05555556,2.25
91331,2020/3/30,9,1,2802,7304,1139,827,27,97,105799,11950,8.51E-05,9.45E-06,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.460052678,4.75
91335,2020/3/30,21,7,3004,4723,1339,896,12,99,80524,12265,0.000260792,8.69E-05,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.243465273,4.75
91340,2020/3/30,1,0,925,6199,404,783,31,96,36227,10714,2.76E-05,0,2,44.97,27.76,47.19,-42,-23,-34,-52,-51,22,2.28960396,1.75
