ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stay_home_ratio,ave_new7_10after
90746,2020/3/20,3,2,897,7271,348,468,44,91,26996,4628,0.000111128,7.41E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.577586207,3.5
90755,2020/3/20,14,2,415,4854,173,644,13,98,11074,5082,0.001264223,0.000180603,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.398843931,13.25
91001,2020/3/20,2,1,1096,6031,468,640,20,97,37711,4558,5.30E-05,2.65E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.341880342,1
91007,2020/3/20,2,0,1312,6642,616,846,5,99,34523,6210,5.79E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.12987013,0.75
91030,2020/3/20,2,1,873,4806,389,692,19,97,25794,7562,7.75E-05,3.88E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.244215938,0.75
91042,2020/3/20,1,0,1109,7720,455,757,23,97,26631,533,3.76E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.437362637,0.5
91104,2020/3/20,3,1,1029,5174,469,737,13,98,37974,9985,7.90E-05,2.63E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.194029851,3.75
91208,2020/3/20,4,0,526,4810,233,825,8,99,13538,3551,0.000295465,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.25751073,9.75
91302,2020/3/20,1,0,1444,4684,768,871,0,100,26634,997,3.75E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,1.880208333,1.5
91304,2020/3/20,3,0,2162,5342,965,700,18,97,53761,5716,5.58E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.240414508,1.5
