ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90004,2020/4/19,293,50,1649,3870,808,1045,6,99,61586,20205,0.004757575,0.000811799,2,0.489993936,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,76
90004,2020/4/26,365,74,1755,4024,822,935,8,99,61586,20205,0.005926671999999999,0.001201597,2,0.468376068,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,39
90004,2020/5/3,441,76,1726,3884,822,937,8,99,61586,20205,0.007160718000000002,0.0012339710000000002,2,0.476245655,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,50
90004,2020/5/10,480,39,1822,3566,863,908,6,99,61586,20205,0.007793979,0.0006330730000000001,2,0.473655324,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,58
90006,2020/3/22,3,3,1873,8014,525,535,118,81,61698,32134,4.86e-05,4.86e-05,1,0.280298986,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,73
90006,2020/3/29,20,17,1844,9527,586,648,98,86,61698,32134,0.00032416,0.0002754,1,0.317787419,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,84
90006,2020/4/5,93,73,1626,5878,687,802,37,95,61698,32134,0.001507342,0.001183088,1,0.422509225,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,132
90006,2020/4/12,175,84,1436,3650,713,930,8,99,61698,32134,0.002836397,0.0013614710000000002,1,0.496518106,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,229
90006,2020/4/19,305,132,1340,3419,604,942,14,98,61698,32134,0.004943434,0.002139455,1,0.450746269,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,212
90006,2020/4/26,534,229,1419,3919,602,848,21,97,61698,32134,0.008655062,0.003711627,1,0.424242424,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,234
90006,2020/5/3,746,212,1408,3672,600,796,20,97,61698,32134,0.012091154,0.003436093,1,0.426136364,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,246
