ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90020,2020/5/17 - 2020/5/23,32.41384,8.28956
90022,2020/4/5 - 2020/4/11,21.35101,3.2404
90022,2020/4/12 - 2020/4/18,26.84435,4.07412
90022,2020/4/19 - 2020/4/25,37.368996,5.67142
90022,2020/4/26 - 2020/5/2,66.23652,10.05259
90022,2020/5/3 - 2020/5/9,112.299,17.04341
90022,2020/5/10 - 2020/5/16,98.252426,14.91158
90022,2020/5/17 - 2020/5/23,74.07805,11.24268
90024,2020/4/5 - 2020/4/11,18.724352,3.72342
90024,2020/4/12 - 2020/4/18,9.23997,1.83741
90024,2020/4/19 - 2020/4/25,4.784451,0.95141
90024,2020/4/26 - 2020/5/2,12.802693,2.54587
90024,2020/5/3 - 2020/5/9,5.7411613,1.14166
90024,2020/5/10 - 2020/5/16,3.8555963,0.766703
90024,2020/5/17 - 2020/5/23,3.1383111,0.624068
90025,2020/4/5 - 2020/4/11,22.830513,4.75963
90025,2020/4/12 - 2020/4/18,15.730075,3.27935
90025,2020/4/19 - 2020/4/25,8.124741,1.69382
90025,2020/4/26 - 2020/5/2,15.878977,3.3104
90025,2020/5/3 - 2020/5/9,9.287016,1.93613
90025,2020/5/10 - 2020/5/16,6.7247577,1.40196
90025,2020/5/17 - 2020/5/23,3.2542164,0.678428
90026,2020/4/5 - 2020/4/11,19.674963,2.82731
90026,2020/4/12 - 2020/4/18,22.611588,3.2493
90026,2020/4/19 - 2020/4/25,32.974056,4.7384
90026,2020/4/26 - 2020/5/2,48.619106,6.98661
90026,2020/5/3 - 2020/5/9,68.94612,9.90762
90026,2020/5/10 - 2020/5/16,59.1237,8.49613
90026,2020/5/17 - 2020/5/23,48.83064,7.01701
90028,2020/4/12 - 2020/4/18,-0.91757613,-0.298554
90028,2020/4/19 - 2020/4/25,-2.3209398,-0.75517
90028,2020/4/26 - 2020/5/2,5.3262258,1.73301
90028,2020/5/3 - 2020/5/9,-2.7570703,-0.897075
90028,2020/5/10 - 2020/5/16,-4.350641,-1.41558
