ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90020,2020/5/17 - 2020/5/23,25.136978,6.42857
90022,2020/4/5 - 2020/4/11,25.732996,3.90545
90022,2020/4/12 - 2020/4/18,28.48057,4.32244
90022,2020/4/19 - 2020/4/25,35.879158,5.44531
90022,2020/4/26 - 2020/5/2,68.71428,10.42864
90022,2020/5/3 - 2020/5/9,98.386284,14.9319
90022,2020/5/10 - 2020/5/16,95.74608,14.5312
90022,2020/5/17 - 2020/5/23,60.81237,9.22938
90024,2020/4/5 - 2020/4/11,24.113588,4.7951
90024,2020/4/12 - 2020/4/18,11.091117,2.20552
90024,2020/4/19 - 2020/4/25,4.2974744,0.854573
90024,2020/4/26 - 2020/5/2,14.213799,2.82648
90024,2020/5/3 - 2020/5/9,4.6213927,0.918985
90024,2020/5/10 - 2020/5/16,4.1361732,0.822497
90024,2020/5/17 - 2020/5/23,1.3574587,0.269937
90025,2020/4/5 - 2020/4/11,24.98034,5.20782
90025,2020/4/12 - 2020/4/18,13.602462,2.8358
90025,2020/4/19 - 2020/4/25,5.267949,1.09824
90025,2020/4/26 - 2020/5/2,11.888014,2.47837
90025,2020/5/3 - 2020/5/9,4.9663115,1.03536
90025,2020/5/10 - 2020/5/16,4.2931666,0.895025
90025,2020/5/17 - 2020/5/23,1.350494,0.281546
90026,2020/4/5 - 2020/4/11,25.257078,3.62946
90026,2020/4/12 - 2020/4/18,20.43871,2.93706
90026,2020/4/19 - 2020/4/25,25.830597,3.71188
90026,2020/4/26 - 2020/5/2,42.91135,6.1664
90026,2020/5/3 - 2020/5/9,53.84832,7.73805
90026,2020/5/10 - 2020/5/16,50.430946,7.24697
90026,2020/5/17 - 2020/5/23,35.078056,5.04075
90028,2020/4/12 - 2020/4/18,2.0071802,0.653081
90028,2020/4/19 - 2020/4/25,-0.88505197,-0.287972
90028,2020/4/26 - 2020/5/2,8.159698,2.65494
90028,2020/5/3 - 2020/5/9,-1.9544204,-0.635915
90028,2020/5/10 - 2020/5/16,-3.086903,-1.00439
90028,2020/5/17 - 2020/5/23,-1.8716506,-0.608984
90029,2020/4/5 - 2020/4/11,19.473057,5.13828
90029,2020/4/12 - 2020/4/18,15.268281,4.02878
90029,2020/4/19 - 2020/4/25,26.69503,7.04392
90029,2020/4/26 - 2020/5/2,57.92627,15.28478
90029,2020/5/3 - 2020/5/9,44.61852,11.77332
90029,2020/5/10 - 2020/5/16,32.883602,8.67687
90029,2020/5/17 - 2020/5/23,41.446735,10.93639
90031,2020/4/12 - 2020/4/18,11.044418,2.86607
90031,2020/4/19 - 2020/4/25,10.782636,2.79814
90031,2020/4/26 - 2020/5/2,26.812729,6.95802
90031,2020/5/3 - 2020/5/9,21.284628,5.52345
90031,2020/5/10 - 2020/5/16,32.63592,8.46916
90031,2020/5/17 - 2020/5/23,26.46854,6.8687
90032,2020/4/12 - 2020/4/18,6.6998453,1.40673
90032,2020/4/19 - 2020/4/25,6.338375,1.33084
90032,2020/4/26 - 2020/5/2,21.770334,4.57101
90032,2020/5/3 - 2020/5/9,15.870432,3.33223
90032,2020/5/10 - 2020/5/16,13.932844,2.92541
90032,2020/5/17 - 2020/5/23,10.642508,2.23455
90033,2020/4/5 - 2020/4/11,24.726423,5.19648
90033,2020/4/12 - 2020/4/18,20.21626,4.24863
90033,2020/4/19 - 2020/4/25,20.223345,4.25012
90033,2020/4/26 - 2020/5/2,39.170307,8.232
90033,2020/5/3 - 2020/5/9,48.981335,10.29387
90033,2020/5/10 - 2020/5/16,56.55675,11.88592
90033,2020/5/17 - 2020/5/23,49.089725,10.31665
90034,2020/4/5 - 2020/4/11,27.386164,4.92097
90034,2020/4/12 - 2020/4/18,18.094254,3.25132
90034,2020/4/19 - 2020/4/25,16.45884,2.95746
90034,2020/4/26 - 2020/5/2,25.694155,4.61693
90034,2020/5/3 - 2020/5/9,16.980862,3.05126
90034,2020/5/10 - 2020/5/16,27.551989,4.95076
90034,2020/5/17 - 2020/5/23,12.860328,2.31085
90035,2020/4/5 - 2020/4/11,21.24387,7.56413
90035,2020/4/12 - 2020/4/18,10.640244,3.78859
90035,2020/4/19 - 2020/4/25,7.4394903,2.64892
90035,2020/4/26 - 2020/5/2,11.5042095,4.09621
