ZIP,date_start - date_end,Predicted new cases,cases/10000 population
90006,2020/5/1 - 2020/5/4,40.78969,6.611184821
90006,2020/5/2 - 2020/5/5,43.750206,7.091024992
90006,2020/5/3 - 2020/5/6,39.690758,6.4330704
90006,2020/5/4 - 2020/5/7,40.768425,6.607738498
90006,2020/5/5 - 2020/5/8,38.276844,6.203903534
90006,2020/5/6 - 2020/5/9,35.015408,5.675290538
90006,2020/5/7 - 2020/5/10,36.223743,5.871137385
90006,2020/5/8 - 2020/5/11,41.438362,6.716321781
90006,2020/5/9 - 2020/5/12,55.37131,8.974571491
90006,2020/5/10 - 2020/5/13,49.821354,8.075035481
90006,2020/5/11 - 2020/5/14,46.1783,7.484569832
90018,2020/3/22 - 2020/3/25,0.24718536,0.046414557
90018,2020/3/23 - 2020/3/26,-0.120583475,-0.022642233
90018,2020/3/24 - 2020/3/27,0.54009044,0.101414008
90018,2020/3/25 - 2020/3/28,1.5293547,0.287170402
90018,2020/3/26 - 2020/3/29,1.8683174,0.350818192
90018,2020/3/27 - 2020/3/30,1.11979,0.210265502
90018,2020/3/28 - 2020/3/31,0.26364326,0.049504894
90018,2020/3/29 - 2020/4/1,2.570112,0.482595762
90018,2020/3/30 - 2020/4/2,1.049131,0.196997716
90018,2020/3/31 - 2020/4/3,1.8905897,0.355000322
90018,2020/4/1 - 2020/4/4,3.0817611,0.578669281
90018,2020/4/2 - 2020/4/5,3.8271093,0.718625007
90018,2020/4/3 - 2020/4/6,3.5284626,0.66254744
90018,2020/4/4 - 2020/4/7,1.708074,0.320728927
90018,2020/4/5 - 2020/4/8,3.6881428,0.69253094
90018,2020/4/6 - 2020/4/9,3.19123,0.599224512
90018,2020/4/7 - 2020/4/10,2.477219,0.465153054
90018,2020/4/8 - 2020/4/11,2.4843554,0.466493062
90018,2020/4/9 - 2020/4/12,3.9072328,0.733669964
90018,2020/4/10 - 2020/4/13,4.054117,0.761250789
90018,2020/4/11 - 2020/4/14,2.920949,0.54847322
90018,2020/4/12 - 2020/4/15,1.770131,0.332381514
90018,2020/4/13 - 2020/4/16,3.5495238,0.666502146
90018,2020/4/14 - 2020/4/17,3.9466965,0.741080164
90018,2020/4/15 - 2020/4/18,2.0152915,0.37841585
90018,2020/4/16 - 2020/4/19,4.6338058,0.870100224
90018,2020/4/17 - 2020/4/20,7.074737,1.328439438
90018,2020/4/18 - 2020/4/21,11.893963,2.233356403
90018,2020/4/19 - 2020/4/22,10.558375,1.982570106
90018,2020/4/20 - 2020/4/23,10.6467905,1.999172019
90018,2020/4/21 - 2020/4/24,9.094308,1.707658836
90018,2020/4/22 - 2020/4/25,5.4883237,1.030554996
90018,2020/4/23 - 2020/4/26,4.7235737,0.886956152
90018,2020/4/24 - 2020/4/27,2.57433,0.483387804
90018,2020/4/25 - 2020/4/28,7.704957,1.446777266
90018,2020/4/26 - 2020/4/29,9.342323,1.754229252
90018,2020/4/27 - 2020/4/30,11.149034,2.093479335
90018,2020/4/28 - 2020/5/1,10.872286,2.041513791
90018,2020/4/29 - 2020/5/2,7.215723,1.354912693
90018,2020/4/30 - 2020/5/3,8.544985,1.604511195
90018,2020/5/1 - 2020/5/4,7.8551354,1.474976611
90018,2020/5/2 - 2020/5/5,7.5614963,1.419839315
90018,2020/5/3 - 2020/5/6,7.77416,1.459771652
90018,2020/5/4 - 2020/5/7,8.794316,1.651328731
90018,2020/5/5 - 2020/5/8,5.4108405,1.016005804
90018,2020/5/6 - 2020/5/9,4.9566107,0.930714038
90018,2020/5/7 - 2020/5/10,4.3711276,0.820776552
90018,2020/5/8 - 2020/5/11,4.1552134,0.780233843
90018,2020/5/9 - 2020/5/12,4.416435,0.82928398
90018,2020/5/10 - 2020/5/13,5.1266866,0.962649574
90018,2020/5/11 - 2020/5/14,3.6473837,0.684877514
90033,2020/3/22 - 2020/3/25,-0.85110474,-0.178867397
90033,2020/3/23 - 2020/3/26,-1.4780893,-0.31063391
90033,2020/3/24 - 2020/3/27,-0.80250424,-0.168653561
90033,2020/3/25 - 2020/3/28,-0.011605514,-0.002439004
90033,2020/3/26 - 2020/3/29,0.22692427,0.047690198
90033,2020/3/27 - 2020/3/30,0.06716425,0.014115178
90033,2020/3/28 - 2020/3/31,0.74023646,0.155567421
90033,2020/3/29 - 2020/4/1,1.934164,0.406482157
90033,2020/3/30 - 2020/4/2,1.5543337,0.326657354
90033,2020/3/31 - 2020/4/3,1.8882034,0.396823105
90033,2020/4/1 - 2020/4/4,1.3747543,0.288917115
90033,2020/4/2 - 2020/4/5,2.7135823,0.570283983
90033,2020/4/3 - 2020/4/6,3.1094701,0.653483414
90033,2020/4/4 - 2020/4/7,4.047921,0.850707433
90033,2020/4/5 - 2020/4/8,5.0320816,1.057537693
90033,2020/4/6 - 2020/4/9,3.4650476,0.728211251
90033,2020/4/7 - 2020/4/10,2.5565865,0.537289894
90033,2020/4/8 - 2020/4/11,2.650874,0.557105248
90033,2020/4/9 - 2020/4/12,3.222408,0.677218346
90033,2020/4/10 - 2020/4/13,3.7111225,0.779926132
90033,2020/4/11 - 2020/4/14,3.3593197,0.70599157
90033,2020/4/12 - 2020/4/15,2.064037,0.433776156
90033,2020/4/13 - 2020/4/16,3.2584531,0.684793546
90033,2020/4/14 - 2020/4/17,3.2617338,0.685483002
90033,2020/4/15 - 2020/4/18,3.292355,0.691918345
90033,2020/4/16 - 2020/4/19,4.2673655,0.896825643
90033,2020/4/17 - 2020/4/20,5.860709,1.231681313
90033,2020/4/18 - 2020/4/21,8.621432,1.811872371
90033,2020/4/19 - 2020/4/22,9.294096,1.95323876
90033,2020/4/20 - 2020/4/23,10.922035,2.295364987
90033,2020/4/21 - 2020/4/24,11.07099,2.326669106
90033,2020/4/22 - 2020/4/25,7.092877,1.49063256
90033,2020/4/23 - 2020/4/26,4.977964,1.046164371
90033,2020/4/24 - 2020/4/27,2.8411093,0.597084941
90033,2020/4/25 - 2020/4/28,7.3245344,1.539317491
90033,2020/4/26 - 2020/4/29,9.850484,2.070168736
90033,2020/4/27 - 2020/4/30,9.494506,1.99535672
90033,2020/4/28 - 2020/5/1,13.187749,2.771525316
90033,2020/4/29 - 2020/5/2,9.48379,1.993104764
90033,2020/4/30 - 2020/5/3,12.077861,2.538272247
90033,2020/5/1 - 2020/5/4,10.974566,2.306404905
90033,2020/5/2 - 2020/5/5,10.355299,2.176260218
90033,2020/5/3 - 2020/5/6,13.675946,2.874124422
90033,2020/5/4 - 2020/5/7,13.277604,2.790409201
90033,2020/5/5 - 2020/5/8,10.936251,2.298352497
90033,2020/5/6 - 2020/5/9,10.653331,2.238894312
90033,2020/5/7 - 2020/5/10,7.7209873,1.622635672
90033,2020/5/8 - 2020/5/11,8.094755,1.701186384
90033,2020/5/9 - 2020/5/12,9.332568,1.961324038
90033,2020/5/10 - 2020/5/13,13.726771,2.884805782
90033,2020/5/11 - 2020/5/14,10.8820305,2.286957629
90039,2020/3/22 - 2020/3/25,1.661317,0.561464392
90039,2020/3/23 - 2020/3/26,2.141212,0.723651352
90039,2020/3/24 - 2020/3/27,3.4446938,1.164180541
90039,2020/3/27 - 2020/3/30,2.43855,0.824140726
90039,2020/3/28 - 2020/3/31,2.4907694,0.841788971
90039,2020/3/29 - 2020/4/1,2.9384122,0.993075869
90039,2020/3/30 - 2020/4/2,2.0246904,0.684271314
90039,2020/3/31 - 2020/4/3,2.1641214,0.731393893
90039,2020/4/1 - 2020/4/4,1.7330992,0.585724162
90039,2020/4/2 - 2020/4/5,3.3613367,1.136008891
90039,2020/4/3 - 2020/4/6,1.8947253,0.640347873
90039,2020/4/4 - 2020/4/7,4.3201885,1.460065741
90039,2020/4/5 - 2020/4/8,6.0494485,2.044492376
90039,2020/4/6 - 2020/4/9,7.446899,2.516779525
90039,2020/4/7 - 2020/4/10,7.6157904,2.573858653
90039,2020/4/8 - 2020/4/11,6.4046288,2.164530317
90039,2020/4/9 - 2020/4/12,8.162248,2.758541234
90039,2020/4/10 - 2020/4/13,3.7070167,1.25283609
90039,2020/4/11 - 2020/4/14,2.8959994,0.978741908
90039,2020/4/12 - 2020/4/15,2.449139,0.827719463
90039,2020/4/13 - 2020/4/16,2.98323,1.008222689
90039,2020/4/14 - 2020/4/17,2.8195603,0.952908273
90039,2020/4/15 - 2020/4/18,2.6175961,0.884651779
90039,2020/4/16 - 2020/4/19,3.0877037,1.043530942
90039,2020/4/17 - 2020/4/20,3.2592206,1.101497381
90039,2020/4/18 - 2020/4/21,5.267616,1.780261514
90039,2020/4/19 - 2020/4/22,5.023097,1.697623116
90039,2020/4/20 - 2020/4/23,3.9900727,1.348498674
90039,2020/4/21 - 2020/4/24,3.9241824,1.326230158
90039,2020/4/22 - 2020/4/25,2.0136564,0.680542221
90039,2020/4/23 - 2020/4/26,2.394687,0.809316617
90039,2020/4/24 - 2020/4/27,0.13459602,0.045488533
90039,2020/4/25 - 2020/4/28,2.555638,0.863712216
90039,2020/4/26 - 2020/4/29,1.3739622,0.464348969
90039,2020/4/27 - 2020/4/30,1.9504077,0.659166495
90039,2020/4/28 - 2020/5/1,2.2076929,0.746119457
90039,2020/4/29 - 2020/5/2,0.9368355,0.31661615
90039,2020/4/30 - 2020/5/3,1.3559957,0.458276946
90039,2020/5/1 - 2020/5/4,1.8583266,0.628046421
90039,2020/5/2 - 2020/5/5,2.5506284,0.862019137
90039,2020/5/3 - 2020/5/6,4.0978713,1.384930651
90039,2020/5/4 - 2020/5/7,5.9704785,2.017803418
90039,2020/5/5 - 2020/5/8,3.2448955,1.096656007
90039,2020/5/6 - 2020/5/9,2.2164896,0.749092417
90039,2020/5/7 - 2020/5/10,1.5902636,0.537450946
90039,2020/5/8 - 2020/5/11,0.96599543,0.326471131
90039,2020/5/9 - 2020/5/12,-0.32824504,-0.110934822
90039,2020/5/10 - 2020/5/13,0.667795,0.225690291
90039,2020/5/11 - 2020/5/14,1.2327604,0.416627946
90043,2020/3/22 - 2020/3/25,-0.82682157,-0.18527384
90043,2020/3/23 - 2020/3/26,-1.1192154,-0.250793324
90043,2020/3/24 - 2020/3/27,-0.143662,-0.032191724
90043,2020/3/25 - 2020/3/28,0.84447646,0.189229942
90043,2020/3/26 - 2020/3/29,1.4863397,0.333058393
90043,2020/3/27 - 2020/3/30,0.051016882,0.011431842
90043,2020/3/28 - 2020/3/31,-0.7539282,-0.168939921
90043,2020/3/29 - 2020/4/1,1.6462982,0.368901824
90043,2020/3/30 - 2020/4/2,1.2859277,0.288150145
90043,2020/3/31 - 2020/4/3,2.1842122,0.489437383
90043,2020/4/1 - 2020/4/4,2.8825655,0.645924104
90043,2020/4/2 - 2020/4/5,3.6778958,0.824141391
90043,2020/4/3 - 2020/4/6,2.9609985,0.663499347
90043,2020/4/4 - 2020/4/7,2.8405967,0.636519747
90043,2020/4/5 - 2020/4/8,5.4644413,1.224469783
90043,2020/4/6 - 2020/4/9,5.4330716,1.217440476
90043,2020/4/7 - 2020/4/10,5.3367147,1.195848868
90043,2020/4/8 - 2020/4/11,5.6683555,1.270162786
90043,2020/4/9 - 2020/4/12,4.9304934,1.104822945
90043,2020/4/10 - 2020/4/13,2.1567316,0.483279541
90043,2020/4/12 - 2020/4/15,3.4684353,0.777205568
90043,2020/4/13 - 2020/4/16,5.904269,1.323026244
90043,2020/4/14 - 2020/4/17,8.615105,1.93046915
90043,2020/4/15 - 2020/4/18,7.977083,1.787501559
90043,2020/4/16 - 2020/4/19,7.741847,1.734789934
90043,2020/4/17 - 2020/4/20,11.302017,2.532551418
90043,2020/4/18 - 2020/4/21,19.441284,4.356395048
90043,2020/4/19 - 2020/4/22,20.294613,4.547608597
90043,2020/4/20 - 2020/4/23,18.5996,4.167790763
90043,2020/4/21 - 2020/4/24,20.31233,4.551578696
90043,2020/4/22 - 2020/4/25,15.478827,3.468489362
90043,2020/4/23 - 2020/4/26,14.659603,3.284917901
90043,2020/4/24 - 2020/4/27,6.683258,1.497581746
90043,2020/4/25 - 2020/4/28,10.092602,2.261546099
90043,2020/4/26 - 2020/4/29,9.955886,2.230910858
90043,2020/4/27 - 2020/4/30,10.721591,2.402489747
90043,2020/4/28 - 2020/5/1,14.884808,3.335381627
90043,2020/4/29 - 2020/5/2,12.040434,2.698015525
90043,2020/4/30 - 2020/5/3,12.645685,2.833639993
90043,2020/5/1 - 2020/5/4,12.591984,2.821606605
90043,2020/5/2 - 2020/5/5,13.321298,2.985030956
90043,2020/5/3 - 2020/5/6,14.003817,3.137969526
90043,2020/5/4 - 2020/5/7,13.328958,2.986747386
90043,2020/5/5 - 2020/5/8,9.765741,2.188303347
90043,2020/5/6 - 2020/5/9,11.4233675,2.559743541
90043,2020/5/7 - 2020/5/10,6.213162,1.3922428
90043,2020/5/8 - 2020/5/11,7.5133142,1.683580399
90043,2020/5/9 - 2020/5/12,13.518428,3.029203811
90043,2020/5/10 - 2020/5/13,9.001641,2.017084114
90043,2020/5/11 - 2020/5/14,8.0065365,1.794101437
90045,2020/3/22 - 2020/3/25,-1.2235627,-0.29734932
90045,2020/3/23 - 2020/3/26,-1.4699901,-0.357235931
90045,2020/3/24 - 2020/3/27,-0.56570965,-0.137478347
90045,2020/3/25 - 2020/3/28,-1.6605828,-0.403553618
90045,2020/3/26 - 2020/3/29,-0.03226137,-0.007840135
90045,2020/3/27 - 2020/3/30,0.18346219,0.044584847
90045,2020/3/28 - 2020/3/31,-0.4410696,-0.107188414
90045,2020/3/29 - 2020/4/1,1.4654602,0.356135066
90045,2020/3/30 - 2020/4/2,1.9882218,0.483176205
90045,2020/3/31 - 2020/4/3,1.5229645,0.370109718
90045,2020/4/1 - 2020/4/4,4.6615467,1.132845685
90045,2020/4/2 - 2020/4/5,5.9652004,1.449658661
90045,2020/4/3 - 2020/4/6,-0.1285835,-0.03124827
90045,2020/4/4 - 2020/4/7,0.07200553,0.017498732
